UNH ID #,Sample Name,DateTime,NPOC (mg C/L),TDN (mg N/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Abs254,SUVA,Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Closed Cell pH,TSS (mg/L),NH4 (ug N/L),DON mg/L,PO4 (ug P/L),CO2ppm,Chla_Conc
111094,LMP72,7/24/2012 11:27,4.86,0.39,28.98,0.09,1.55,0.19,3.82,19.78,1.30,1.87,8.43,,,9.31,0.29,2.00,111.28,
111108,LMP72,7/31/2012 10:23,5.01,0.41,33.11,0.11,1.75,0.17,3.37,23.75,1.21,2.00,8.66,,,18.25,0.28,4.50,2012.29,
112018,HBF,8/2/2012 13:15,2.77,0.24,0.38,0.07,1.05,0.08,2.88,1.48,0.23,0.30,1.21,,,,,,,
112023,LMP72,8/7/2012 9:58,5.85,0.75,33.03,0.13,1.89,,,22.65,1.96,2.08,8.93,,,36.36,0.58,6.83,1195.45,
112314,LMP72,8/14/2012 10:45,5.67,0.56,27.27,0.11,1.60,0.17,3.04,18.97,1.57,1.76,8.41,,,48.15,0.40,8.70,754.70,
112517,HBF,8/17/2012 12:30,2.70,0.04,,,,,,,,,,,,,,,,
112523,LMP72,8/21/2012 10:07,8.92,0.56,23.65,0.00,2.25,0.24,2.69,16.90,1.24,1.44,6.58,,,28.01,0.53,10.22,,
112623,LMP72,8/28/2012 9:25,6.62,0.46,19.76,0.09,2.13,0.26,3.92,14.78,1.09,1.44,6.48,,,19.08,0.35,9.37,743.34,
112682,LMP72,9/4/2012 10:48,6.76,0.68,22.36,0.17,2.03,0.24,3.54,16.41,1.37,1.61,7.09,,,62.82,0.45,11.49,913.28,
112717,LMP72,9/11/2012 11:28,5.13,0.46,29.18,0.16,2.13,0.19,3.71,20.43,1.71,1.69,9.03,,,26.34,0.27,2.00,1182.21,
112764,LMP72,9/18/2012 10:14,6.11,0.74,29.32,0.24,2.02,0.17,2.84,20.36,1.96,1.85,8.32,,,21.62,0.48,5.56,1040.51,
112841,LMP72,9/25/2012 10:11,5.24,0.54,26.21,0.13,1.87,0.16,3.11,18.14,1.60,1.76,7.51,,,25.77,0.38,9.58,1225.93,
113065,DCF03,9/28/2012 4:15,6.65,0.30,5.40,0.02,0.62,0.23,3.51,4.52,0.75,0.79,3.50,6.62,,,,9.17,,
113070,LMP72,10/2/2012 9:31,5.84,0.84,35.53,0.38,2.32,0.16,2.75,23.02,1.96,1.88,8.00,,,132.84,0.33,2.00,897.58,
113080,DCF03,10/2/2012 11:25,7.48,0.30,4.00,0.03,0.69,0.30,4.01,3.88,0.63,0.72,2.54,6.75,,2.50,0.27,5.29,,
113106,SBM0.2,10/4/2012 15:15,2.61,0.08,4.04,0.01,2.02,0.07,2.81,4.00,0.36,0.52,1.77,5.25,,12.76,0.07,4.91,,
113228,SBM0.2,10/5/2012 14:00,0.99,0.04,4.33,0.01,2.08,0.02,1.74,4.21,0.15,0.49,0.97,4.91,,2.50,0.03,2.00,,
113229,DCF03,10/5/2012 14:45,8.62,0.30,4.09,0.00,0.59,0.35,4.07,3.84,0.73,0.73,2.61,6.67,,14.43,0.29,9.95,,
113236,LMP72,10/9/2012 11:31,5.10,0.46,31.28,0.23,2.48,0.18,3.53,21.06,1.94,1.83,13.86,,,2.50,0.23,2.00,1198.58,
113285,LMP72,10/16/2012 10:32,6.06,0.27,24.22,0.02,1.84,0.22,3.66,16.25,1.44,1.52,6.31,,,2.50,0.25,2.00,680.93,
113299,DCF03,10/16/2012 10:35,9.01,0.31,5.00,0.01,0.69,0.36,3.95,4.41,0.75,0.71,2.47,6.61,,2.50,0.30,21.40,,
